AOI Coordinates,2016,2017,2018,2019,2020,2021,2022,2023
"[[[74.67792937305236, 32.01339457502559], [74.68792937305237, 32.01339457502559], [74.68792937305237, 32.02339457502559], [74.67792937305236, 32.02339457502559], [74.67792937305236, 32.01339457502559]]]",619.2536534646127,656.1657493394654,736.3723886332506,771.3421494306028,788.1938774955656,777.9620018308531,766.8706129433608,792.4920825388748
"[[[74.67792937305236, 32.02339457502559], [74.68792937305237, 32.02339457502559], [74.68792937305237, 32.03339457502559], [74.67792937305236, 32.03339457502559], [74.67792937305236, 32.02339457502559]]]",1.3838003649549386,1.6832330165572573,2.2962994034921445,4.5955138655692425,2.309053473631602,2.637177348023411,1.8219608982868594,2.497188444555529
"[[[74.67792937305236, 32.03339457502559], [74.68792937305237, 32.03339457502559], [74.68792937305237, 32.04339457502559], [74.67792937305236, 32.04339457502559], [74.67792937305236, 32.03339457502559]]]",9.805779976456025,10.96083091807165,15.002628305746125,13.839224996761057,3.3289050322145712,9.983616747149426,3.0261590101417823,1.6200443955312949
"[[[74.67792937305236, 32.043394575025594], [74.68792937305237, 32.043394575025594], [74.68792937305237, 32.05339457502559], [74.67792937305236, 32.05339457502559], [74.67792937305236, 32.043394575025594]]]",7.275230372511834,8.332032321018499,10.072897551295396,6.292631891460855,3.9676200493592177,4.196576472691495,4.596201482010086,13.25783390074749
"[[[74.67792937305236, 32.05339457502559], [74.68792937305237, 32.05339457502559], [74.68792937305237, 32.06339457502559], [74.67792937305236, 32.06339457502559], [74.67792937305236, 32.05339457502559]]]",2.8781948549200096,1.5058555657121948,0.5942353134895372,3.713718446190564,2.913767596967541,3.6639156903933614,2.4349529488940522,4.165819735506233
"[[[74.67792937305236, 32.06339457502559], [74.68792937305237, 32.06339457502559], [74.68792937305237, 32.07339457502559], [74.67792937305236, 32.07339457502559], [74.67792937305236, 32.06339457502559]]]",1.7359960600786544,2.3965554851201887,4.623862662992906,4.499781676227832,1.9835896625409077,2.492011484446266,0.9532062335892988,3.1361637707374816
"[[[74.67792937305236, 32.07339457502559], [74.68792937305237, 32.07339457502559], [74.68792937305237, 32.08339457502559], [74.67792937305236, 32.08339457502559], [74.67792937305236, 32.07339457502559]]]",2.5630957373323326,6.946625827458774,5.591962764901837,3.0430838640768343,1.448088133474812,2.8948223545739893,1.469074947954141,2.0208242708577018
"[[[74.67792937305236, 32.083394575025594], [74.68792937305237, 32.083394575025594], [74.68792937305237, 32.09339457502559], [74.67792937305236, 32.09339457502559], [74.67792937305236, 32.083394575025594]]]",221.20210819263937,233.71571225032577,247.86820333901605,239.15778563087434,233.59588438139056,257.3051558826793,258.4766227282741,255.24540468222412
"[[[74.67792937305236, 32.09339457502559], [74.68792937305237, 32.09339457502559], [74.68792937305237, 32.10339457502559], [74.67792937305236, 32.10339457502559], [74.67792937305236, 32.09339457502559]]]",454.52176418393043,517.2494275151778,525.3717442512839,526.335780679376,567.8122711641067,595.1998940691674,607.2405105953699,621.6445427070755
"[[[74.67792937305236, 32.10339457502559], [74.68792937305237, 32.10339457502559], [74.68792937305237, 32.11339457502559], [74.67792937305236, 32.11339457502559], [74.67792937305236, 32.10339457502559]]]",112.65432215655412,135.79946520338336,134.52575448670737,134.62020424753257,150.17898842029408,158.17335290042948,151.4642402455727,158.38975190454065
